INPUT           ORIGINAL BASE   TARGET BASE     CONVERTED VALUE      CONVERTED VALUE IN BASE 10
-------------------------------------------------------------------------------
AmA             55              12              17058                32900                    
45Lc            40              10              264878               264878                   
2OP             38              3               12020200             3825                     
1G              27              43              10                   43                       
8AB4            40              55              39c4                 528444                   
Q6X             36              60              9Pj                  33945                    
Yii             46              63              Ieo                  74012                    
ho1             57              55              l6r                  142558                   
4000710         8               11              657176               1049032                  
23BA0           13              49              RHg                  65702                    
10              5               14              5                    5                        
40001F          16              15              57CB75               4194335                  
4               50              5               4                    4                        
5L3             23              13              156B                 3131                     
7803512         9               3               21220010120102       4195082                  
8wO             61              58              9qc                  33330                    
4Fa             38              52              2Ic                  6382                     
13D9            20              44              4d9                  9469                     
FFY             35              6               223354               18934                    
1J              41              29              22                   60                       
A               39              30              A                    10                       
m               62              8               60                   48                       
2B              22              20              2F                   55                       
1               41              21              1                    1                        
2F25            38              53              kgj                  131485                   
3r              55              53              46                   218                      
A               12              29              A                    10                       
225542133       6               63              GnR3                 4196937                  
3B3JD           40              10              8389573              8389573                  
2               13              15              2                    2                        
30C             24              49              ZP                   1740                     
M               31              35              M                    22                       
2A              26              10              62                   62                       
20AI            26              18              6166                 35430                    
1C              61              29              2F                   73                       
61              13              41              1c                   79                       
5Y29            45              33              EJN6                 524574                   
7OZM            52              38              J5VS                 1050994                  
40              12              47              11                   48                       
0               43              40              0                    0                        
O               52              37              O                    24                       
1QJ             36              37              1NV                  2251                     
111463          8               48              GH3                  37683                    
A56             14              48              gK                   2036                     
4003324         8               13              2AA0C2               1050324                  
8D              37              24              CL                   309                      
40006764        8               40              3B54K                8392180                  
8AE             25              35              4AE                  5264                     
2W0F            36              41              1d7W                 134799                   
7PBH            52              47              A6KL                 1052445                  
4kf             51              54              4Kl                  12791                    
1               18              43              1                    1                        
12              46              49              m                    48                       
7F              18              61              2J                   141                      
3               35              27              3                    3                        
E556            21              39              28TX                 131970                   
6               10              30              6                    6                        
arY             60              20              GC0E                 132814                   
f               61              30              1B                   41                       
78              14              2               1101010              106                      
3LPO            26              63              H1+                  67598                    
47              24              55              1m                   103                      
1YA             62              43              39S                  5962                     
B8              32              31              BJ                   360                      
1D4D3D          14              52              7OVl                 1050811                  
3H              49              56              2q                   164                      
AeW             59              8               110522               37202                    
1               41              59              1                    1                        
1               56              25              1                    1                        
cZ              60              32              28B                  2315                     
2206436         7               58              1MZh                 271193                   
303431          5               57              325                  9866                     
33100           4               57              H7                   976                      
1               37              13              1                    1                        
72              17              48              2P                   121                      
32A4            14              21              JIB                  8768                     
1BPT            37              17              D9B9                 66666                    
120210120110022 3               28              DIDD5                8396225                  
163             20              35              EX                   523                      
28UDM           37              20              1647FJ               4195119                  
A               45              17              A                    10                       
16708740        9               9               16708740             8391393                  
80A8            16              49              DZ8                  32936                    
19              57              6               150                  66                       
1               8               27              1                    1                        
3CA             37              53              1X3                  4561                     
4               46              22              4                    4                        
ADUa            37              44              67IP                 525473                   
8H              26              22              A5                   225                      
266713          10              12              10A421               266713                   
580             19              54              aD                   1957                     
5BC8            18              23              2G6C                 32948                    
1993            19              62              2fq                  10282                    
PN              35              5               12043                898                      
3588            12              62              1Yu                  6008                     
20202122210     3               49              16MP                 133158                   
PD9             36              31              136H                 32877                    
2996            16              34              974                  10646                    
40003071        8               11              4810756              8390201                  
4MOi            49              27              QHI1                 524638                   
3               43              32              3                    3                        
G9DA            20              37              2MC2                 131870                   
15              13              3               200                  18                       
LBNKK           25              23              16MCL1               8389895                  
1CE60           51              28              DIA85                8393733                  
113             5               30              13                   33                       
32N4            35              13              4804C                131884                   
QVI             50              40              11O8                 66568                    
0               31              54              0                    0                        
306             38              12              2616                 4338                     
1B0             21              59              BN                   672                      
80GCA           19              33              T5T7                 1048582                  
64O             56              31              JPU                  19064                    
212D8           19              42              3Q8E                 268478                   
C2              16              13              11C                  194                      
4               27              45              4                    4                        
402160          8               41              1bQO                 132208                   
0               47              62              0                    0                        
1               22              47              1                    1                        
IF1             30              35              DKQ                  16651                    
5M              36              27              7D                   202                      
UN              55              17              5D7                  1673                     
16MM22          23              23              16MM22               8394749                  
11              5               2               110                  6                        
d0              63              46              17J                  2457                     
1EH             29              39              WG                   1264                     
32212           4               58              G6                   934                      
1               59              21              1                    1                        
585934          13              8               10000536             2097502                  
gvu8            58              3               120210020111221      8389708                  
1               2               5               1                    1                        
1eP             50              34              3V3                  4525                     
82              9               24              32                   74                       
6726            11              52              3EL                  8861                     
92JNM           31              26              I99GD                8390265                  
5N8             25              36              2V0                  3708                     
5               37              44              5                    5                        
6f2             51              62              4bT                  17699                    
d               60              26              1D                   39                       
NU              36              30              SI                   858                      
