Input: AmA, Original Base: 55, Target Base: 12, Converted: 17058, Base10: 32900
Input: 45Lc, Original Base: 40, Target Base: 10, Converted: 264878, Base10: 264878
Input: 2OP, Original Base: 38, Target Base: 3, Converted: 12020200, Base10: 3825
Input: 1G, Original Base: 27, Target Base: 43, Converted: 10, Base10: 43
Input: 8AB4, Original Base: 40, Target Base: 55, Converted: 39c4, Base10: 528444
Input: Q6X, Original Base: 36, Target Base: 60, Converted: 9Pj, Base10: 33945
Input: Yii, Original Base: 46, Target Base: 63, Converted: Ieo, Base10: 74012
Input: ho1, Original Base: 57, Target Base: 55, Converted: l6r, Base10: 142558
Input: 4000710, Original Base: 8, Target Base: 11, Converted: 657176, Base10: 1049032
Input: 23BA0, Original Base: 13, Target Base: 49, Converted: RHg, Base10: 65702
Input: 10, Original Base: 5, Target Base: 14, Converted: 5, Base10: 5
Input: 40001F, Original Base: 16, Target Base: 15, Converted: 57CB75, Base10: 4194335
Input: 4, Original Base: 50, Target Base: 5, Converted: 4, Base10: 4
Input: 5L3, Original Base: 23, Target Base: 13, Converted: 156B, Base10: 3131
Input: 7803512, Original Base: 9, Target Base: 3, Converted: 21220010120102, Base10: 4195082
Input: 8wO, Original Base: 61, Target Base: 58, Converted: 9qc, Base10: 33330
Input: 4Fa, Original Base: 38, Target Base: 52, Converted: 2Ic, Base10: 6382
Input: 13D9, Original Base: 20, Target Base: 44, Converted: 4d9, Base10: 9469
Input: FFY, Original Base: 35, Target Base: 6, Converted: 223354, Base10: 18934
Input: 1J, Original Base: 41, Target Base: 29, Converted: 22, Base10: 60
Input: A, Original Base: 39, Target Base: 30, Converted: A, Base10: 10
Input: m, Original Base: 62, Target Base: 8, Converted: 60, Base10: 48
Input: 2B, Original Base: 22, Target Base: 20, Converted: 2F, Base10: 55
Input: 1, Original Base: 41, Target Base: 21, Converted: 1, Base10: 1
Input: 2F25, Original Base: 38, Target Base: 53, Converted: kgj, Base10: 131485
